,Publisher,Media,Name of Comic,,Story Title,,Year,,Volume,,No.,,Front Cover Artist,,Artist 1,,Artist 2,,Artist 3,,Condition,,Est. Value,,Notes
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Thorns in the Flesh - Thorns in the Mind,,1975,,1,,15,,,,"Graham, Billy",,"Green, Dan",,,,VF minus,,12
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,And All Our Past Decades Have Seen Revolutions,,1975,,1,,16,,,,"Graham, Billy",,,,,,NM,,25
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Of Shadows and Rages,,1975,,1,,17,,,,"Graham, Billy",,,,,,NM,,25
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Epilogue of Death,,1975,,1,,18,,,,"Graham, Billy",,"McLeod, Bob",,,,FN,,9
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,The Panther vs. The Klan - Blood and Sacrifices,,1975,,1,,19,,,,"Graham, Billy",,"McLeod, Bob",,,,NM,,25
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,They Told Me a Myth I Wanted to Believe,,1975,,1,,20,,Buckler,,"Graham, Billy",,"McLeod, Bob",,,,VF/NM,,20
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,A Cross Burning Darkly Blackening the Night,,1976,,1,,21,,,,"Graham, Billy",,"McLeod, Bob",,,,VF minus,,12
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Death Riders on the Horizon,,1976,,1,,22,,,,"Graham, Billy",,"Buckler, Rich",,"McLeod, Bob",,NM,,25
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,A Life on the Line,,1976,,1,,23,,,,"Colan, Gene",,"Shores, Syd",,,,FN,,9
,Marvel,Comic,"Black Panther, Jungle Action Featuring",,Windeagle in Flight,,1976,,1,,24,,,,"Buckler, Rich",,"Pollard, Keith",,,,VF/NM,,20
,Marvel,Comic,"Black Panther, Marvel Comics Group",,The Six Million Year Man,,1976,,1,,2,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,VF minus,,12
,Marvel,Comic,"Black Panther, Marvel Comics Group",,Friends or Foes,,1977,,1,,4,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,NM,,30
,Marvel,Comic,"Black Panther, Marvel Comics Group",,Quest for the Sacred Water Skin,,1977,,1,,5,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,VF minus,,12
,Marvel,Comic,"Black Panther, Marvel Comics Group",,Drums,,1977,,1,,7,,"Chan, Ernie",,"Kirby, Jack",,"Royer, Mike",,,,NM/M,,30
,Marvel,Comic,"Black Panther, Marvel Comics Group",,Panthers or Pussycats,,1977,,1,,8,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,VF/NM,,20
,Marvel,Comic,"Black Panther, Marvel Comics Group",,Black Musketeers,,1978,,1,,9,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,VF/NM,,23
,Marvel,Comic,"Black Panther, Marvel Comics Group",,This World Shall Die,,1978,,1,,10,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,NM/M,,45,,
,Marvel,Comic,"Black Panther, Marvel Comics Group",,The Kiber Clue,,1978,,1,,12,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,NM/M,,45,,
,Marvel,Comic,"Black Panther, Marvel Comics Group",,The Revenge of the Black Panther,,1979,,1,,15,,"Buscema, Sal",,"Bingham, Jerry",,"Day, Gene",,,,NM/M,,35,,
,Marvel,Comic,"Black Panther, Marvel Comics Group",,King Solomon's Frog,,1976,,1,,1,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,VF minus,,28,,
,Marvel,Comic,"Black Panther, Marvel Premiere Featuring",,Killing of Windeagle,,1979,,,,51,,"Milgrom,",,"Bingham, Jerry",,"Day, Gene",,,,VF minus,,,,
,Marvel,Comic,"Black Panther, Marvel Premiere Featuring",,The Rage of the Soul Strangler,,1979,,,,53,,"Miller, F",,"Bingham, Jerry",,"Gordon, Alan",,,,VF minus,,,,
,DC,Comic,Blackhawk,,Death's Deadly Pawn,,1976,,29,,246,,,,"Estrada, Ric",,"Evans, George",,,,VF/NM,,6,,
,DC,Comic,Blackhawk,,Death's Right Hand,,1976,,29,,244,,"Kubert, Joe",,"Evans, George",,,,,,VF/NM,,6,,
,DC,Comic,Blackhawk,,Death's Double Deal,,1976,,29,,245,,"Kubert, Joe",,"Evans, George",,,,,,VF/NM,,6,,
,DC,Comic,"Bomba, The Jungle Boy",,Tampu Lives - Bomba Dies,,1968,,,,5,,,,,,,,,,VF minus,,23,,
,DC,Comic,"Captain Atom, DC Annual",,The Darkside of the Force,,1987,,,,1,,"Broderick, Pat",,"Broderick, Pat",,"Smith, Bob",,,,VF minus,,4,,
,DC,Comic,"Captain Atom, DC Annual",,We Three Kings,,1987,,,,13,,"Broderick, Pat",,"Broderick, Pat",,"Smith, Bob",,,,FN,,3,,
,DC,Comic,"Captain Atom, DC Annual",,Slow Burn,,1988,,,,25,,"Broderick, Pat",,"Broderick, Pat",,"Smith, Bob",,,,VF minus,,3,,Bob Smith also on cover
,Print Mint,Comic,Captain Guts,,,,1969,,,,,,"Welz, Larry",,"Welz, Larry",,,,,,VF/NM,,22,,
,DC,Comic,Claw,,The Sword & The Silent Scream,,1975,,1,,1,,"Chua, Ernie",,"Chua, Ernie",,,,,,VF,,8,,
,DC,Comic,Claw,,The Doom That Came to K'Dasha-Dheen,,1975,,1,,2,,"Chua, Ernie",,"Chua, Ernie",,,,,,VF/NM,,5,,
,DC,Comic,Claw,,The Bloodspear ,,1975,,1,,3,,"Chua, Ernie",,"Chua, Ernie",,"Boyette, Pat",,,,M,,10,,
,DC,Comic,Claw,,The Coming of N'Hglthss,,1975,,1,,4,,"Chua, Ernie",,"Chua, Ernie",,"Boyette, Pat",,,,FN/VF,,3,,
,DC,Comic,Claw,,The Grimstone Quest,,1975,,2,,5,,"Chua, Ernie",,"Chua, Ernie",,,,,,NM,,7,,
,DC,Comic,Claw,,The People of the Maelstrom,,1976,,2,,7,,"Chua, Ernie",,"Chua, Ernie",,,,,,M,,10,,
,DC,Comic,Code Name:  Assassin,,Code Name:  Assassin,,1976,,2,,11,,"Grell, Mike",,Redondo Studio,,"Milgrom, Al",,,,NM,,8,,
,Company & Sons,Comic,Collected Cheech Wizard. The,,,,1972,,,,,,"Bodé, Vaughn",,"Bodé, Vaughn",,,,,,,,,,
,Marvel,Comic,Conan the Barbarian,,The Valley of Forever Night,,1981,,1,,118,,,,"Buscema, John",,"Chan, Ernie",,,,VF,,4,,
,Marvel,Comic,Conan the Barbarian,,The Corridor of Mullah-Kajar,,1980,,1,,117,,,,"Buscema, John",,"Chan, Ernie",,,,NM minus,,4,,
,Marvel,Comic,Conan the Barbarian,,Crawler in the Mist,,1980,,1,,116,,,,"Buscema, John",,"Adams, Neal",,,,NM minus,,4,,
,Marvel,Comic,Conan the Barbarian,,Shadow of the Beast,,1980,,1,,114,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF/NM,,4,,
,Marvel,Comic,Conan the Barbarian,,Beware the Bear of Heaven,,1980,,1,,110,,,,"Buscema, John",,"Chan, Ernie",,,,NM,,4,,
,Marvel,Comic,Conan the Barbarian,,Chaos in the Land Called Kush,,1980,,1,,106,,,,"Buscema, John",,"Chan, Ernie",,,,VF/NM,,4,,
,Marvel,Comic,Conan the Barbarian,,Whispering Shadows,,1979,,1,,105,,"Buscema, John",,"Buscema, John",,"Chan, Ernie",,,,NM,,4,,2 copies same condition
,Marvel,Comic,Conan the Barbarian,,The Vale of Lost Women,,1979,,1,,104,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF plus,,4,,
,Marvel,Comic,Conan the Barbarian,,Bride of the Vampire,,1979,,1,,103,,"Buscema, John",,"Buscema, John",,"Chan, Ernie",,,,NM,,4,,
,Marvel,Comic,Conan the Barbarian,,The Men Who Drink Blood,,1979,,1,,102,,"Buscema, John",,"Buscema, John",,"Chan, Ernie",,,,NM,,4,,
,Marvel,Comic,Conan the Barbarian,,The Devil Has Many Legs,,1979,,1,,101,,"Buscema, John",,"Buscema, John",,"Chan, Ernie",,,,VF,,4,,
,Marvel,Comic,Conan the Barbarian,,Death on the Black Coast,,1979,,1,,100,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,10,,
,Marvel,Comic,Conan the Barbarian,,Devil Crabs of the Dark Cliffs,,1979,,1,,99,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Sea-Woman,,1979,,1,,98,,"Buscema, John",,"Buscema, John",,"Chan, Ernie",,,,VF/NM,,6,,2 copies same condition
,Marvel,Comic,Conan the Barbarian,,The Long Night of Fang & Talon Part 2,,1979,,1,,97,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Long Night of Fang & Talon Part 1,,1979,,1,,96,,,,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Return of Amra,,1979,,1,,95,,,,"Buscema, John",,"Chan, Ernie",,,,VF,,6,,
,Marvel,Comic,Conan the Barbarian,,The Rage & Revenge,,1978,,1,,93,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Thing in the Crypt,,1978,,1,,92,,"Chan, Ernie",,"Buscema, Sal",,"Chan, Ernie",,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Savage Doings in Shem,,1978,,1,,91,,,,"Buscema, John",,"Chan, Ernie",,,,VF plus,,6,,cover:  Fangs of the Swamp Rats
,Marvel,Comic,Conan the Barbarian,,The Queen and the Corsairs,,1978,,1,,88,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Demons at the Summit,,1978,,1,,87,,,,"DeZuniga, Tony",,,,,,NM,,6,,cover:  The Stalkers of the Summit
,Marvel,Comic,Conan the Barbarian,,The Devourer of the Dead,,1978,,1,,86,,,,"Buscema, John",,"Chan, Ernie",,,,VF,,6,,
,Marvel,Comic,Conan the Barbarian,,Two Against the Hawk - City,,1978,,1,,84,,,,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Dance of the Skull,,1978,,1,,83,,"Chan, Ernie",,"Chaykin, Howard",,"Chan, Ernie",,,,VF/NM,,6,,cover:  The Man-Dragons
,Marvel,Comic,Conan the Barbarian,,Of Swordsmen & Sorcerers,,1978,,1,,85,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF/NM,,6,,cover:  Swords Against Stygia
,Marvel,Comic,Conan the Barbarian,,The Sorceress of the Swamp,,1978,,1,,82,,"Chan, Ernie",,"Chaykin, Howard",,"Chan, Ernie",,,,VF plus,,6,,
,Marvel,Comic,Conan the Barbarian,,The Eye of the Serpent,,1977,,1,,81,,"Chan, Ernie",,"Chaykin, Howard",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Trial By Combat,,1977,,1,,80,,"Chan, Ernie",,"Chaykin, Howard",,"Chan, Ernie",,,,VF minus,,6,,
,Marvel,Comic,Conan the Barbarian,,The Lost Valley of Iskander,,1977,,1,,79,,"Chan, Ernie",,"Chaykin, Howard",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Curse of the Undead-Man,,1977,,1,,78,,,,"Buscema, John",,"Marcos, Pablo",,,,VF/NM,,6,,originally presented in Savage Sword of Conan #1
,Marvel,Comic,Conan the Barbarian,,When Giants Walk the Earth,,1977,,1,,77,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF minus,,6,,
,Marvel,Comic,Conan the Barbarian,,Swordless in Stygia,,1977,,1,,76,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Hawk-Riders of Harakht,,1977,,1,,75,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Battle at the Black Walls,,1977,,1,,74,,,,"Buscema, John",,"Chan, Ernie",,,,VF/NM,,6,,cover:  The Serpent from the River Styx
,Marvel,Comic,Conan the Barbarian,,He Who Waits in the Well of Skelos,,1977,,1,,73,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF plus,,6,,
,Marvel,Comic,Conan the Barbarian,,Vengeance in Asgalun,,1977,,1,,72,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Secret of Ashtoreth,,1977,,1,,71,,"Kane, Gil",,"Buscema, John",,"Chan, Ernie",,,,VF,,6,,cover:  The Altar of the Damned
,Marvel,Comic,Conan the Barbarian,,The City in the Storm,,1977,,1,,70,,"Kane, Gil",,"Buscema, John",,"Chan, Ernie",,,,VF minus,,6,,formerly Ernie Chua
,Marvel,Comic,Conan the Barbarian,,The Demon Out of the Deep,,1976,,1,,69,,"Kane, Gil",,"Mayerik, Val",,"Tribe, The",,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Of Once & Future Kings,,1976,,1,,68,,"Kane, Gil",,"Buscema, John",,,,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Talons of the Man-Tiger,,1976,,1,,67,,,,"Buscema, John",,"Tribe, The",,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,Daggers & Death-Gods,,1976,,1,,66,,,,"Buscema, John",,"Tribe, The",,,,VF/NM,,6,,"cover:  Dagon, God of Death"
,Marvel,Comic,Conan the Barbarian,,Fiends of the Feathered Serpent,,1976,,1,,65,,,,"Buscema, John",,"Tribe, The",,,,NM,,7,,cover:  Rage in a Land Beyond Time
,Marvel,Comic,Conan the Barbarian,,The Secret of Skull River,,1976,,1,,64,,"Buscema, John",,"Starlin, Jim",,"Milgrom, Al",,,,NM,,7,,cover:  Fiends of the Feathered Serpent
,Marvel,Comic,Conan the Barbarian,,Death Among the Ruins,,1976,,1,,63,,,,"Buscema, John",,"Gan, Steve",,,,VF/NM,,5,,
,Marvel,Comic,Conan the Barbarian,,Lord of the Lions,,1976,,1,,62,,"Kane, Gil",,"Buscema, John",,"Gan, Steve",,,,VF/NM,,5,,cover:  Death in the Land of Dagon
,Marvel,Comic,Conan the Barbarian,,On the Track of the She-Pirate,,1976,,1,,61,,,,"Buscema, John",,"Gan, Steve",,,,VF/NM,,5,,
,Marvel,Comic,Conan the Barbarian,,Riders of the River-Dragons,,1976,,1,,60,,,,"Buscema, John",,"Gan, Steve",,,,FN/VF,,4,,
,Marvel,Comic,Conan the Barbarian,,Queen of the Black Coast,,1976,,1,,58,,"Buscema, John",,"Buscema, John",,"Gan, Steve",,,,VF/NM,,11,,
,Marvel,Comic,Conan the Barbarian,,Incident in Argos,,1975,,1,,57,,,,"Ploog, Mike",,,,,,VF,,5,,
,Marvel,Comic,Conan the Barbarian,,The Strange High Tower in the Mist,,1975,,1,,56,,,,"Buscema, John",,"Marcos, Pablo",,,,VF minus,,4,,
,Marvel,Comic,Conan the Barbarian,,A Shadow on the Land,,1975,,1,,55,,,,"Buscema, John",,"Palmer, Tom",,,,NM,,8,,
,Marvel,Comic,Conan the Barbarian,,The Oracle of Ophir,,1975,,1,,54,,,,"Buscema, John",,"Palmer, Tom",,,,NM,,8,,
,Marvel,Comic,Conan the Barbarian,,Brothers of the Blade,,1975,,1,,53,,,,"Buscema, John",,"Springer, Frank",,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Altar and the Scorpion,,1975,,1,,52,,,,"Buscema, John",,"Palmer, Tom",,,,VF/NM,,6,,cover:  The God in the Crypt
,Marvel,Comic,Conan the Barbarian,,Man Born of Demon,,1975,,1,,51,,,,"Buscema, John",,"Giordano, Dick",,,,VF/NM,,6,,
,Marvel,Comic,Conan the Barbarian,,The Dweller in the Pool,,1975,,1,,50,,"Janson, GK",,"Buscema, John",,"Giordano, Dick",,,,NM,,15,,
,Marvel,Comic,Conan the Barbarian,,Wolf-Woman,,1975,,1,,49,,,,"Buscema, John",,"Giordano, Dick",,,,NM,,15,,
,Marvel,Comic,Conan the Barbarian,,The Rats Dance at Ravengard,,1975,,1,,48,,,,"Buscema, John",,"Giordano, Dick",,"Adkins, Dan",,NM,,15,,
,Marvel,Comic,Conan the Barbarian,,Goblins in the Moonlight,,1975,,1,,47,,,,"Buscema, John",,"Adkins, Dan",,,,NM minus,,12,,cover:  The Goblins Strike at Midnight
,Marvel,Comic,Conan the Barbarian,,Of Flame and the Fiend,,1974,,1,,44,,,,"Buscema, John",,"Bunkers, Crusty",,,,VF/NM,,12,,cover:  The Fiend & the Flame
,Marvel,Comic,Conan the Barbarian,,Tower of Blood,,1974,,1,,43,,,,"Buscema, John",,"Chua, Ernie",,,,FN/VF,,7,,
,Marvel,Comic,Conan the Barbarian,,Night of the Gargoyle,,1974,,1,,42,,,,"Buscema, John",,"Chua, Ernie",,,,VF,,8,,
,Marvel,Comic,Conan the Barbarian,,The Garden of Death & Life,,1974,,1,,41,,,,"Buscema, John",,"Chua, Ernie",,,,VF,,8,,
